Reporting Month,Asset Class,Product,Number of Open Positions,Aggregate Gross Notional Value of Open Positions (in USD million),Number of New Transactions,Aggregate Notional Value of New Transactions (in USD million)
Jun-20,Credit,Single name: Corporate,10218,61849,1672,9109
Jun-20,Credit,Single name: Sovereign,6424,118222,819,23270
Jun-20,Credit,Others,2977,41024,445,4915
Jun-20,Foreign Exchange,Forwards and swaps,399625,5551840,368843,8902643
Jun-20,Foreign Exchange,NDF,236120,1699510,186962,1092665
Jun-20,Foreign Exchange,Spot,7172,191711,55311,1422697
Jun-20,Foreign Exchange,Options,124488,1898870,60196,648904
Jun-20,Foreign Exchange,Others,109221,409438,31310,73227
Jun-20,Interest Rate,Cross Currency Swap,44125,2014780,1455,81538
Jun-20,Interest Rate,FRA,3653,553936,2666,499902
Jun-20,Interest Rate,Interest Rate Swap,368066,15218700,50678,2801379
Jun-20,Interest Rate,Options,12209,623195,567,44708
Jun-20,Interest Rate,Others,10954,284681,803,31930
Jul-20,Credit,Index,3874,111310,707,17978
Jul-20,Credit,Single name: Corporate,10636,64058,747,5864
Jul-20,Credit,Single name: Sovereign,6481,117253,631,16339
Jul-20,Credit,Others,3291,37283,812,6720
Jul-20,Foreign Exchange,Forwards and swaps,408884,5422352,366472,9109203
Jul-20,Foreign Exchange,NDF,227629,1666409,171044,1038133
Jul-20,Foreign Exchange,Spot,5953,155477,51969,1421952
Jul-20,Foreign Exchange,Options,125104,2007902,62087,724551
Jul-20,Foreign Exchange,Others,106698,423028,32038,83848
Jul-20,Interest Rate,Cross Currency Swap,45062,2037143,2304,124811
Jul-20,Interest Rate,FRA,3630,574931,1759,294624
Jul-20,Interest Rate,Interest Rate Swap,354150,14467139,32566,2113984
Jul-20,Interest Rate,Options,12183,622877,556,35169
Jul-20,Interest Rate,Others,10713,265287,739,28590
Aug-20,Credit,Index,3756,114227,384,15798
Aug-20,Credit,Single name: Corporate,11016,66266,478,3685
Aug-20,Credit,Single name: Sovereign,6540,119844,352,13490
Aug-20,Credit,Others,3498,40339,591,9300
Aug-20,Foreign Exchange,Forwards and swaps,431695,5649805,344976,8424707
Aug-20,Foreign Exchange,NDF,235813,1745411,156278,983409
Aug-20,Foreign Exchange,Spot,7129,207911,48752,1417351
Aug-20,Foreign Exchange,Options,126072,2061773,57925,690523
Aug-20,Foreign Exchange,Others,106937,405612,30183,164487
Aug-20,Interest Rate,Cross Currency Swap,45337,2016020,1458,91912
Aug-20,Interest Rate,FRA,3050,467915,1281,270194
Aug-20,Interest Rate,Interest Rate Swap,363106,14546049,32078,1860352
Aug-20,Interest Rate,Options,12386,635254,737,43863
Aug-20,Interest Rate,Others,10548,261680,621,22739
